episode:930, reward:-0.022000132322311402, actor loss:-0.23310449719429016, critic loss:0.004991648253053427
episode:940, reward:4.033115181235454, actor loss:0.41568493843078613, critic loss:0.03572125732898712
episode:950, reward:-0.32416522379401724, actor loss:-0.05726137012243271, critic loss:0.42228612303733826
episode:960, reward:5.2919651309119375, actor loss:0.08987175673246384, critic loss:0.0508873350918293
episode:970, reward:1.069790914853414, actor loss:0.018981948494911194, critic loss:0.0007192867924459279
episode:980, reward:0.08065560913085938, actor loss:-0.009279025718569756, critic loss:0.004556545056402683
episode:990, reward:0.0998547576467196, actor loss:0.005504439119249582, critic loss:0.0011948682367801666
episode:1000, reward:3.6573696992089695, actor loss:0.06417523324489594, critic loss:0.03350445628166199
episode:1010, reward:-0.0049328991174697875, actor loss:-0.026506537571549416, critic loss:0.002297972794622183
episode:1020, reward:0.1371053601554825, actor loss:0.0033604286145418882, critic loss:0.006371580064296722
episode:1030, reward:0.38012080555036665, actor loss:0.012717616744339466, critic loss:0.002356229815632105
episode:1040, reward:-0.004267391562461853, actor loss:-0.013180779293179512, critic loss:0.00015097398136276752
episode:1050, reward:-0.007235934495925904, actor loss:-0.0013741200091317296, critic loss:0.00018956045096274465
episode:1060, reward:-0.0026929199546575546, actor loss:-0.0010818198788911104, critic loss:1.0639305401127785e-05
episode:1070, reward:-0.008266286492347718, actor loss:-0.0035294503904879093, critic loss:0.00010679347906261683
episode:1080, reward:-0.005351911664009094, actor loss:-0.00013796826533507556, critic loss:1.5854672028581263e-06
episode:1090, reward:0.40721113626783095, actor loss:0.019488023594021797, critic loss:0.0020467296708375216
episode:1100, reward:-0.0077228500843048095, actor loss:-0.002811794402077794, critic loss:4.5902903366368264e-05
episode:1110, reward:-0.00588766884803772, actor loss:-0.00032312277471646667, critic loss:2.510498120500415e-07
episode:1120, reward:-0.015396077513694763, actor loss:-0.0028112258296459913, critic loss:0.0008242077892646194
episode:1130, reward:-0.005031730465590954, actor loss:-0.001644539413973689, critic loss:0.00017038291844073683
episode:1140, reward:0.06126156924168269, actor loss:0.004386140964925289, critic loss:0.0020025388803333044
episode:1150, reward:-0.0029629892110824584, actor loss:-0.0038770982064306736, critic loss:0.0004502346273511648
episode:1160, reward:-0.0030354806780815125, actor loss:-0.030144792050123215, critic loss:0.002265881048515439
episode:1170, reward:-0.0062722271680831915, actor loss:-0.007701477967202663, critic loss:0.00593567406758666
episode:1180, reward:-0.017324522137641907, actor loss:-0.010652805678546429, critic loss:0.0006870768265798688
episode:1190, reward:-0.013095811784267426, actor loss:-0.009210826829075813, critic loss:0.0023394282907247543
